
"Location","Overall","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native"
"United States","7.4","6.8","8.1","9.6","5.8","10.9"
"Alabama","9.5","9.1","9.8","NSD","NSD","NSD"
"Alaska","7.1","NSD","NSD","NSD","NSD","NSD"
"Arizona","6.5","5.8","NSD","8.8","NSD","NSD"
"Arkansas","10.2","10.5","8.3","NSD","NSD","NSD"
"California","7.1","5.7","6.3","8.9","6.5","NSD"
"Colorado","6.4","5.9","NSD","9.9","NSD","NSD"
"Connecticut","5.6","4.9","NSD","10.5","NSD","NSD"
"Delaware","7.5","7.5","NSD","NSD","NSD","NSD"
"District of Columbia","10.1","NSD","14.8","NSD","NSD","NSD"
"Florida","9.2","9.1","10.6","9.6","5.9","NSD"
"Georgia","7.5","7.7","7.5","7.6","NSD","NSD"
"Hawaii","5.4","NSD","NSD","NSD","5.3","NSD"
"Idaho","5.3","5.6","NSD","NSD","NSD","NSD"
"Illinois","7","6.4","10.2","7.9","NSD","NSD"
"Indiana","N/A","N/A","N/A","N/A","N/A","N/A"
"Iowa","7.9","7.9","NSD","NSD","NSD","NSD"
"Kansas","8.3","7.4","NSD","12.2","NSD","NSD"
"Kentucky","9.9","9.9","10.8","NSD","NSD","NSD"
"Louisiana","9.8","8.6","11","15.2","NSD","NSD"
"Maine","7.5","7.2","NSD","NSD","NSD","NSD"
"Maryland","5.7","4.8","6.6","8.2","NSD","NSD"
"Massachusetts","3.8","3.2","7","5.3","NSD","NSD"
"Michigan","6","5.8","6.5","9.6","NSD","NSD"
"Minnesota","5.8","5","11.7","NSD","NSD","NSD"
"Mississippi","10.1","10.1","10.2","NSD","NSD","NSD"
"Missouri","8.3","8.4","8.4","NSD","NSD","NSD"
"Montana","7","6.6","NSD","NSD","NSD","NSD"
"Nebraska","7.1","6.9","NSD","NSD","NSD","NSD"
"Nevada","8.1","9.2","NSD","8.5","8.7","NSD"
"New Hampshire","5.5","5.8","NSD","NSD","NSD","NSD"
"New Jersey","7.5","6.3","9.5","10.4","5.3","NSD"
"New Mexico","7.8","7.2","NSD","8.9","NSD","NSD"
"New York","7","6","8.4","8.4","6.3","NSD"
"North Carolina","6.6","6.7","5.9","7.8","NSD","NSD"
"North Dakota","5.4","NSD","NSD","NSD","NSD","NSD"
"Ohio","7.7","7.8","8.1","NSD","NSD","NSD"
"Oklahoma","10.2","8.9","11.9","NSD","NSD","20.9"
"Oregon","6.1","5.4","NSD","8.9","NSD","NSD"
"Pennsylvania","6.9","6.7","7.1","8.1","NSD","NSD"
"Rhode Island","5.4","5","NSD","NSD","NSD","NSD"
"South Carolina","7","7.6","6.5","NSD","NSD","NSD"
"South Dakota","5.5","4.9","NSD","NSD","NSD","NSD"
"Tennessee","7","6.9","7.9","NSD","NSD","NSD"
"Texas","9.6","8.3","9.3","12.5","5","NSD"
"Utah","6.8","5.8","NSD","11.4","NSD","NSD"
"Vermont","4.8","NSD","NSD","NSD","NSD","NSD"
"Virginia","5.7","5.4","5.6","8.4","NSD","NSD"
"Washington","6.6","5.6","NSD","10.5","8.3","NSD"
"West Virginia","9.6","9.8","NSD","NSD","NSD","NSD"
"Wisconsin","5.7","5.3","NSD","11.1","NSD","NSD"
"Wyoming","6.5","6","NSD","NSD","NSD","NSD"
