Location,All Women,White,Black,Hispanic,Asian/Native Hawaiian or Pacific Islander,American Indian or Alaska Native,Other,Footnotes
United States,0.12,0.107,0.175,0.129,0.092,0.15,0.114,1
Alabama,0.16,0.144,0.224,NSD,NSD,NSD,NSD,
Alaska,0.091,0.079,NSD,NSD,NSD,0.125,NSD,
Arizona,0.108,0.107,NSD,0.097,NSD,0.235,NSD,
Arkansas,0.143,0.142,0.186,NSD,NSD,NSD,NSD,
California,0.117,0.083,0.177,0.142,0.108,NSD,NSD,
Colorado,0.078,0.066,0.105,0.108,NSD,NSD,0.089,
Connecticut,0.107,0.093,0.206,0.114,NSD,NSD,NSD,
Delaware,0.121,0.132,0.12,0.11,NSD,NSD,NSD,
District of Columbia,0.082,0.026,0.162,NSD,NSD,NSD,NSD,
Florida,0.113,0.106,0.135,0.108,NSD,NSD,0.129,
Georgia,0.126,0.122,0.145,0.107,NSD,NSD,0.157,
Hawaii,0.105,0.064,NSD,0.122,0.12,NSD,0.1,
Idaho,0.082,0.086,NSD,0.056,NSD,NSD,NSD,
Illinois,0.123,0.111,0.149,0.154,0.057,NSD,0.221,
Indiana,0.133,0.133,0.183,0.129,NSD,NSD,0.082,
Iowa,0.107,0.108,0.128,0.109,NSD,NSD,NSD,
Kansas,0.128,0.121,0.158,0.132,NSD,NSD,0.154,
Kentucky,0.16,0.159,0.238,NSD,NSD,NSD,NSD,
Louisiana,0.154,0.121,0.218,0.139,NSD,NSD,NSD,
Maine,0.108,0.111,NSD,NSD,NSD,NSD,0.114,
Maryland,0.122,0.101,0.156,0.103,0.118,NSD,0.146,
Massachusetts,0.085,0.075,0.133,0.121,NSD,NSD,NSD,
Michigan,0.131,0.12,0.207,0.12,NSD,NSD,0.147,
Minnesota,0.097,0.091,0.12,0.145,NSD,0.232,0.048,
Mississippi,0.145,0.131,0.173,NSD,NSD,NSD,NSD,
Missouri,0.106,0.101,0.147,NSD,NSD,NSD,NSD,
Montana,0.084,0.081,NSD,NSD,NSD,0.15,NSD,
Nebraska,0.099,0.097,0.148,0.111,NSD,0.21,NSD,
Nevada,0.119,0.095,0.149,0.094,NSD,NSD,NSD,
New Hampshire,0.085,0.088,NSD,NSD,NSD,NSD,NSD,
New Jersey,0.1,0.089,0.142,0.106,0.088,NSD,NSD,
New Mexico,0.123,0.076,NSD,0.129,NSD,0.288,NSD,
New York,0.115,0.098,0.169,0.131,0.084,0.227,0.108,
North Carolina,0.133,0.13,0.173,0.099,NSD,NSD,NSD,
North Dakota,0.094,0.093,NSD,NSD,NSD,0.205,NSD,
Ohio,0.127,0.118,0.21,NSD,NSD,NSD,0.095,
Oklahoma,0.131,0.132,0.186,0.086,NSD,0.131,0.102,
Oregon,0.119,0.109,NSD,0.145,NSD,NSD,0.112,
Pennsylvania,0.123,0.109,0.186,0.132,NSD,NSD,NSD,
Rhode Island,0.105,0.102,0.103,0.124,NSD,NSD,NSD,
South Carolina,0.138,0.111,0.208,0.131,NSD,NSD,NSD,
South Dakota,0.107,0.098,NSD,NSD,NSD,0.243,NSD,
Tennessee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Texas,0.135,0.105,0.206,0.168,NSD,NSD,NSD,
Utah,0.079,0.076,NSD,0.085,NSD,NSD,NSD,
Vermont,0.077,0.078,NSD,NSD,NSD,NSD,NSD,
Virginia,0.132,0.125,0.216,NSD,NSD,NSD,NSD,
Washington,0.091,0.086,0.12,0.106,0.093,0.129,0.09,
West Virginia,0.19,0.195,0.205,NSD,NSD,NSD,0.166,
Wisconsin,0.107,0.101,0.189,0.11,NSD,0.262,0.084,
Wyoming,0.097,0.089,NSD,0.123,NSD,NSD,NSD,
Guam,0.129,NSD,NSD,NSD,0.136,NSD,NSD,
Puerto Rico,0.193,NSD,NSD,0.194,NSD,NSD,NSD,
U.S. Virgin Islands,0.16,NSD,0.184,NSD,NSD,NSD,NSD,
