
"Location","White","Black/African American","Hispanic/Latino","American Indian/Alaska Native","Asian","Native Hawaiian or Pacific Islander","Multiple races","Total",Footnotes
"United States","9.1","39.7","16.9","58.2","4.4","24.3","23.5","15.8","1"
"Alabama","14.9","63.2","14.5","14.2","10.1","70.5","68","28.6"
"Alaska","11.1","29.3","11","74.6","2.1","25.3","30","22.5"
"Arizona","12.5","59.1","29.1","87.2","8.2","26.5","25","24.1"
"Arkansas","22.6","61.1","24.7","8.2","9","59.4","45.9","29.2"
"California","12.9","37.4","16.7","25.5","4.8","19.8","3.3","16.3"
"Colorado","10.7","46.7","26","46.1","8.4","21","7.2","16"
"Connecticut","6","20.9","0","12.4","1.1","0","1.4","7.3"
"Delaware","10.5","40.6","14","0","2.2","0","3.7","17.4"
"District of Columbia","30.9","52.8","0","144.3","12.4","0","126.9","39.9"
"Florida","11.2","40.2","17.9","13.9","4.2","19","0","19.3"
"Georgia","10.2","41","12.1","11.9","3.4","12.5","2.6","20"
"Hawaii","11.7","17.8","11.7","31.5","6.5","31.2","8.6","12.7"
"Idaho","2.9","12.4","4","5","3.2","0","13.4","3.8"
"Illinois","5","37.5","11","15.2","2.3","26.2","3","11.6"
"Indiana","5.6","24.3","9","12.6","3.1","32.9","39.9","8.7"
"Iowa","7.6","37.9","21","169.5","7","12.6","3.2","10.3"
"Kansas","10.6","40.9","19.3","17.4","2.2","0","0","13.5"
"Kentucky","10.4","41.1","28.5","0","6.3","0","17.7","14.1"
"Louisiana","16.1","46.7","11.2","0","4.7","0","58.4","26.1"
"Maine","5.2","14.2","9.4","0","0","0","0","5.3"
"Maryland","6.4","27.6","12.4","13.9","3","32.9","32.8","14.2"
"Massachusetts","5.7","22.9","27","0","3.5","30.7","12.5","10.6"
"Michigan","4.4","30.5","10.5","7","2.3","32.5","1.6","8.4"
"Minnesota","4.2","45.1","12.9","66.7","3.5","54.9","11.7","8.7"
"Mississippi","21.5","42","12.3","19.8","0","0","111.8","30.1"
"Missouri","16","56.7","21.5","10.9","5","9.6","17.1","21.5"
"Montana","7.5","141.1","18.6","268.3","0","0","128.6","27.5"
"Nebraska","6.3","23","16","68.5","3.7","0","53.2","10.4"
"Nevada","24.1","71.2","5.9","18.9","6.8","35.1","13.4","22.7"
"New Hampshire","3.1","8.8","5.9","0","0","0","0","3.9"
"New Jersey","3.4","24.5","12.2","0","2.1","0","0","8.1"
"New Mexico","18.5","47.8","32.9","83.7","10.7","0","22.5","36.6"
"New York","6.3","30.9","19","0","6.3","40.6","61.6","14.8"
"North Carolina","9.4","51","18.1","13.5","3.6","25.8","48.4","19.9"
"North Dakota","4.3","35.7","10.5","114.6","0","101","16.4","12.4"
"Ohio","9.6","52.7","17.7","13.1","4","101.4","39","16.3"
"Oklahoma","20.4","65.4","27.7","46","4.9","35","40.4","27.7"
"Oregon","15.7","45.2","20.4","52.6","9","10.8","26.1","19.2"
"Pennsylvania","3.7","34.2","17.7","5.3","2.6","23.8","36.8","9.1"
"Rhode Island","4.9","17.1","14.7","0","2.6","0","31.8","8.2"
"South Carolina","11.4","34.5","9.5","0","1.9","27.8","7.5","17.3"
"South Dakota","8.8","79","44.9","351.9","12.5","0","1372.2","73.4"
"Tennessee","8.5","45.2","11.4","4.8","2.1","0","9","14.8","2"
"Texas","8.6","32.3","15.3","11","1.5","13.4","15.3","15"
"Utah","6.7","39.8","17.9","13.2","10.9","13.8","2.4","9.7"
"Vermont","0","0","0","0","15","0","7.6","0.5"
"Virginia","5","29.9","8.5","12.9","2.7","15.3","18.6","10.7"
"Washington","16.2","58.3","26.6","72","7.3","26.3","26.5","21.3"
"West Virginia","9.4","44.6","20.1","25.8","0","0","8.4","10.9"
"Wisconsin","3.6","75.6","14","11.5","3.1","0","4.3","9.1"
"Wyoming","0","0","3.2","0","0","0","0","2.2"
