"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","4162","2540","698","649","177","34","24","34"
"Alabama","97","65","32","0","0","0","0","0"
"Alaska","10","N/A","0","0","N/A","N/A","0","0"
"Arizona","80","54","N/A","13","N/A","N/A","N/A","0"
"Arkansas","64","45","11","N/A","N/A","N/A","N/A","0"
"California","450","163","36","175","57","N/A","N/A","10"
"Colorado","40","28","N/A","N/A","N/A","N/A","0","0"
"Connecticut","26","16","N/A","N/A","0","0","0","0"
"Delaware","11","N/A","N/A","N/A","0","0","0","0"
"District of Columbia","N/A","N/A","N/A","0","0","0","0","0"
"Florida","358","206","73","66","N/A","0","N/A","N/A"
"Georgia","165","88","60","11","N/A","0","0","N/A"
"Hawaii","N/A","N/A","0","0","N/A","0","N/A","N/A"
"Idaho","14","13","0","N/A","0","0","0","N/A"
"Illinois","160","98","31","23","N/A","0","0","N/A"
"Indiana","88","69","N/A","N/A","N/A","0","0","0"
"Iowa","31","28","N/A","N/A","0","0","N/A","0"
"Kansas","38","28","N/A","N/A","0","N/A","0","N/A"
"Kentucky","59","53","N/A","0","0","0","0","N/A"
"Louisiana","65","45","19","N/A","0","0","0","N/A"
"Maine","16","13","N/A","N/A","N/A","0","0","0"
"Maryland","69","34","29","N/A","N/A","0","0","0"
"Massachusetts","57","41","N/A","N/A","N/A","0","0","N/A"
"Michigan","129","93","29","N/A","N/A","0","N/A","N/A"
"Minnesota","42","29","N/A","N/A","N/A","N/A","0","0"
"Mississippi","65","33","30","N/A","0","0","0","N/A"
"Missouri","75","60","11","N/A","N/A","0","N/A","N/A"
"Montana","N/A","N/A","0","0","0","N/A","0","0"
"Nebraska","18","17","0","0","0","0","0","N/A"
"Nevada","43","21","N/A","14","N/A","0","N/A","N/A"
"New Hampshire","10","N/A","0","N/A","0","0","0","0"
"New Jersey","99","49","27","17","N/A","0","0","N/A"
"New Mexico","22","N/A","0","12","0","N/A","0","0"
"New York","219","109","54","35","17","N/A","0","N/A"
"North Carolina","120","78","33","N/A","N/A","N/A","0","0"
"North Dakota","N/A","N/A","0","0","0","0","0","0"
"Ohio","168","138","19","N/A","N/A","N/A","N/A","N/A"
"Oklahoma","63","50","N/A","N/A","N/A","N/A","0","N/A"
"Oregon","52","45","N/A","N/A","N/A","0","N/A","N/A"
"Pennsylvania","145","105","22","17","N/A","0","0","N/A"
"Rhode Island","N/A","N/A","0","N/A","0","0","0","0"
"South Carolina","84","62","14","N/A","N/A","0","0","0"
"South Dakota","11","N/A","0","N/A","0","N/A","0","0"
"Tennessee","124","102","17","N/A","N/A","0","0","0"
"Texas","453","201","63","172","14","N/A","N/A","N/A"
"Utah","17","10","N/A","N/A","0","0","N/A","0"
"Vermont","N/A","N/A","0","0","N/A","0","0","0"
"Virginia","98","56","28","N/A","N/A","0","0","0"
"Washington","75","50","N/A","N/A","N/A","N/A","N/A","N/A"
"West Virginia","33","32","0","N/A","0","0","0","0"
"Wisconsin","57","47","N/A","N/A","0","0","0","N/A"
"Wyoming","N/A","N/A","0","0","0","0","0","0"
