"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","2.3","2.2","3.3","2.3","1.7","4.1","NSD","1.4"
"Alabama","3.7","4.1","4.2","N/A","N/A","N/A","N/A","N/A"
"Alaska","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Arizona","2.5","2","N/A","2.9","N/A","N/A","N/A","N/A"
"Arkansas","3.2","3.6","N/A","N/A","N/A","N/A","N/A","N/A"
"California","2.1","1.8","1.9","2.5","2.2","N/A","N/A","N/A"
"Colorado","1.5","1.4","N/A","NSD","N/A","N/A","N/A","N/A"
"Connecticut","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"Delaware","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"District of Columbia","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Florida","2.7","2.9","4.8","2","N/A","N/A","N/A","N/A"
"Georgia","2.4","2.6","2.3","N/A","N/A","N/A","N/A","N/A"
"Hawaii","2.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Idaho","NSD","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Illinois","2.3","2.3","3.4","NSD","N/A","N/A","N/A","N/A"
"Indiana","2.9","3","NSD","N/A","N/A","N/A","N/A","N/A"
"Iowa","1.2","1.1","N/A","N/A","N/A","N/A","N/A","N/A"
"Kansas","3","3.3","N/A","N/A","N/A","N/A","N/A","N/A"
"Kentucky","3.1","2.9","N/A","N/A","N/A","N/A","N/A","N/A"
"Louisiana","2.6","2.1","4","N/A","N/A","N/A","N/A","N/A"
"Maine","NSD","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Maryland","1.9","1.4","2.6","N/A","N/A","N/A","N/A","N/A"
"Massachusetts","1.3","1.5","N/A","N/A","N/A","N/A","N/A","N/A"
"Michigan","2.4","2.3","3.3","N/A","N/A","N/A","N/A","N/A"
"Minnesota","1.7","1.3","N/A","N/A","N/A","N/A","N/A","N/A"
"Mississippi","3.6","2.7","5.1","N/A","N/A","N/A","N/A","N/A"
"Missouri","2.6","2.6","NSD","N/A","N/A","N/A","N/A","N/A"
"Montana","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nebraska","NSD","NSD","N/A","N/A","N/A","N/A","N/A","N/A"
"Nevada","2.9","2.8","N/A","NSD","N/A","N/A","N/A","N/A"
"New Hampshire","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Jersey","1.8","1.8","NSD","NSD","N/A","N/A","N/A","N/A"
"New Mexico","1.9","N/A","N/A","NSD","N/A","N/A","N/A","N/A"
"New York","1.7","1.5","3.4","1.8","N/A","N/A","N/A","N/A"
"North Carolina","2.2","2.1","2.7","N/A","N/A","N/A","N/A","N/A"
"North Dakota","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ohio","2.4","2.4","3.2","N/A","N/A","N/A","N/A","N/A"
"Oklahoma","3.5","3.6","N/A","N/A","N/A","N/A","N/A","N/A"
"Oregon","1.8","1.8","N/A","N/A","N/A","N/A","N/A","N/A"
"Pennsylvania","2","2","NSD","N/A","NSD","N/A","N/A","N/A"
"Rhode Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Carolina","3.4","3","5.4","N/A","N/A","N/A","N/A","N/A"
"South Dakota","NSD","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee","2.7","2.5","3.6","N/A","N/A","N/A","N/A","N/A"
"Texas","2.8","3.2","3","2.9","NSD","N/A","N/A","N/A"
"Utah","1.9","2","N/A","N/A","N/A","N/A","N/A","N/A"
"Vermont","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Virginia","1.9","1.9","2.1","NSD","N/A","N/A","N/A","N/A"
"Washington","1.5","1.3","N/A","N/A","NSD","N/A","N/A","N/A"
"West Virginia","2.8","2.9","N/A","N/A","N/A","N/A","N/A","N/A"
"Wisconsin","1.1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"Wyoming","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
