"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","18.7","18.9","26.2","13.4","11.3","14.1","24.8","10.3"
"Alabama","21.1","20.3","26.1","N/A","N/A","N/A","NSD","NSD"
"Alaska","17.1","16","N/A","N/A","N/A","N/A","NSD","N/A"
"Arizona","17.6","17.9","18.7","16.9","N/A","14.6","N/A","NSD"
"Arkansas","18.9","18.4","25.7","N/A","N/A","N/A","N/A","N/A"
"California","18.1","20.7","27.4","14.6","13.2","NSD","29.6","11.4"
"Colorado","18.9","19.1","22.6","15.5","NSD","N/A","N/A","N/A"
"Connecticut","16.4","15.6","29.1","10.7","N/A","NSD","NSD","N/A"
"Delaware","20.8","19.2","29","N/A","N/A","NSD","NSD","NSD"
"District of Columbia","24.4","NSD","32.7","N/A","N/A","NSD","NSD","N/A"
"Florida","18.3","18.6","26.3","14","10.9","N/A","N/A","NSD"
"Georgia","21.1","20.3","26.1","11.3","10.5","N/A","NSD","N/A"
"Hawaii","16.3","20.4","NSD","NSD","11.9","NSD","NSD","22.5"
"Idaho","17.9","18.3","NSD","NSD","N/A","NSD","NSD","N/A"
"Illinois","17.6","17.8","27","8.9","10.4","NSD","NSD","N/A"
"Indiana","20.1","20.3","25.7","NSD","NSD","NSD","NSD","N/A"
"Iowa","16.2","16.2","N/A","N/A","N/A","N/A","NSD","N/A"
"Kansas","18.8","18.9","NSD","NSD","N/A","N/A","NSD","N/A"
"Kentucky","20.8","20.9","24.4","N/A","N/A","NSD","N/A","N/A"
"Louisiana","20.4","18.5","27.3","NSD","N/A","NSD","NSD","NSD"
"Maine","18.1","18.8","N/A","NSD","NSD","NSD","NSD","NSD"
"Maryland","18.5","16.7","25.7","9.6","NSD","N/A","N/A","N/A"
"Massachusetts","15.5","15.8","26.1","8.5","10","N/A","NSD","N/A"
"Michigan","18.1","17.6","26.1","10.3","NSD","N/A","NSD","N/A"
"Minnesota","17.4","17.9","24.3","N/A","N/A","N/A","NSD","N/A"
"Mississippi","22","19.8","26.8","N/A","N/A","NSD","NSD","NSD"
"Missouri","20","19.7","28.9","N/A","NSD","NSD","NSD","N/A"
"Montana","19","19.3","NSD","N/A","NSD","N/A","NSD","N/A"
"Nebraska","20.9","21.4","NSD","N/A","N/A","N/A","NSD","N/A"
"Nevada","19.6","21.2","24.9","11.6","17.4","N/A","N/A","N/A"
"New Hampshire","18.1","18.6","N/A","N/A","N/A","NSD","NSD","NSD"
"New Jersey","18.5","18.9","28.6","11.2","11.3","N/A","NSD","N/A"
"New Mexico","19.9","20.8","N/A","19.1","N/A","NSD","NSD","N/A"
"New York","15.6","15.7","22.3","11.5","9.6","N/A","NSD","NSD"
"North Carolina","19.6","18.6","26.6","10.6","NSD","NSD","NSD","N/A"
"North Dakota","16.8","17.6","NSD","NSD","NSD","N/A","NSD","N/A"
"Ohio","20","19.4","28.8","12.1","NSD","N/A","N/A","N/A"
"Oklahoma","22.7","22.9","29.5","NSD","N/A","22.4","N/A","26"
"Oregon","18.9","20.2","N/A","NSD","NSD","N/A","N/A","N/A"
"Pennsylvania","18.2","18","25.8","12.4","11.3","NSD","NSD","N/A"
"Rhode Island","16.8","17.7","N/A","NSD","N/A","NSD","NSD","N/A"
"South Carolina","20.2","18.3","28.1","NSD","N/A","N/A","NSD","N/A"
"South Dakota","15.4","15","N/A","NSD","NSD","N/A","NSD","N/A"
"Tennessee","21.4","21.5","26.5","14.2","N/A","N/A","N/A","N/A"
"Texas","19.7","21.3","26.8","14.9","11.6","N/A","N/A","N/A"
"Utah","19.6","20.1","N/A","14.3","N/A","N/A","N/A","N/A"
"Vermont","18.1","18.5","NSD","N/A","NSD","NSD","NSD","NSD"
"Virginia","18.9","18.6","26.1","9.6","10.7","N/A","NSD","N/A"
"Washington","18.9","20.2","25.6","10.5","8.2","NSD","NSD","NSD"
"West Virginia","20.8","21.2","N/A","NSD","N/A","NSD","NSD","NSD"
"Wisconsin","16.5","16.5","23.9","NSD","N/A","N/A","NSD","N/A"
"Wyoming","18.3","19","NSD","N/A","N/A","NSD","NSD","NSD"
