"state","year","race","rate","cancer"
"United States",2020,"White",19.4,"breast"
"United States",2020,"Black",26.7,"breast"
"United States",2020,"Hispanic",13.1,"breast"
"United States",2020,"American_Indian_AlaskaNative",14,"breast"
"United States",2020,"Asian",11,"breast"
"United States",2020,"Native_Hawaiian_Pacific_Islander",23.3,"breast"
"United States",2020,"Multiple_Races",9.4,"breast"
"United States",2020,"Overall",19.1,"breast"
"Alabama",2020,"White",19.3,"breast"
"Alabama",2020,"Black",24.1,"breast"
"Alabama",2020,"Hispanic",NA,"breast"
"Alabama",2020,"American_Indian_AlaskaNative",NA,"breast"
"Alabama",2020,"Asian",NA,"breast"
"Alabama",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Alabama",2020,"Multiple_Races",NA,"breast"
"Alabama",2020,"Overall",20,"breast"
"Alaska",2020,"White",12.9,"breast"
"Alaska",2020,"Black",NA,"breast"
"Alaska",2020,"Hispanic",NA,"breast"
"Alaska",2020,"American_Indian_AlaskaNative",NA,"breast"
"Alaska",2020,"Asian",NA,"breast"
"Alaska",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Alaska",2020,"Multiple_Races",NA,"breast"
"Alaska",2020,"Overall",15.1,"breast"
"Arizona",2020,"White",18.9,"breast"
"Arizona",2020,"Black",26.9,"breast"
"Arizona",2020,"Hispanic",15,"breast"
"Arizona",2020,"American_Indian_AlaskaNative",NA,"breast"
"Arizona",2020,"Asian",NA,"breast"
"Arizona",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Arizona",2020,"Multiple_Races",NA,"breast"
"Arizona",2020,"Overall",17.6,"breast"
"Arkansas",2020,"White",19.5,"breast"
"Arkansas",2020,"Black",27.5,"breast"
"Arkansas",2020,"Hispanic",NA,"breast"
"Arkansas",2020,"American_Indian_AlaskaNative",NA,"breast"
"Arkansas",2020,"Asian",NA,"breast"
"Arkansas",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Arkansas",2020,"Multiple_Races",NA,"breast"
"Arkansas",2020,"Overall",20.2,"breast"
"California",2020,"White",21.2,"breast"
"California",2020,"Black",27.3,"breast"
"California",2020,"Hispanic",14.3,"breast"
"California",2020,"American_Indian_AlaskaNative",NA,"breast"
"California",2020,"Asian",13.1,"breast"
"California",2020,"Native_Hawaiian_Pacific_Islander",26.5,"breast"
"California",2020,"Multiple_Races",15.8,"breast"
"California",2020,"Overall",18.4,"breast"
"Colorado",2020,"White",20,"breast"
"Colorado",2020,"Black",23.3,"breast"
"Colorado",2020,"Hispanic",14.1,"breast"
"Colorado",2020,"American_Indian_AlaskaNative",NA,"breast"
"Colorado",2020,"Asian",NA,"breast"
"Colorado",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Colorado",2020,"Multiple_Races",NA,"breast"
"Colorado",2020,"Overall",19,"breast"
"Connecticut",2020,"White",18.5,"breast"
"Connecticut",2020,"Black",23.5,"breast"
"Connecticut",2020,"Hispanic",9.3,"breast"
"Connecticut",2020,"American_Indian_AlaskaNative",NA,"breast"
"Connecticut",2020,"Asian",NA,"breast"
"Connecticut",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Connecticut",2020,"Multiple_Races",NA,"breast"
"Connecticut",2020,"Overall",18,"breast"
"Delaware",2020,"White",18.5,"breast"
"Delaware",2020,"Black",21.5,"breast"
"Delaware",2020,"Hispanic",NA,"breast"
"Delaware",2020,"American_Indian_AlaskaNative",NA,"breast"
"Delaware",2020,"Asian",NA,"breast"
"Delaware",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Delaware",2020,"Multiple_Races",NA,"breast"
"Delaware",2020,"Overall",18.7,"breast"
"District of Columbia",2020,"White",NA,"breast"
"District of Columbia",2020,"Black",23.4,"breast"
"District of Columbia",2020,"Hispanic",NA,"breast"
"District of Columbia",2020,"American_Indian_AlaskaNative",NA,"breast"
"District of Columbia",2020,"Asian",NA,"breast"
"District of Columbia",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"District of Columbia",2020,"Multiple_Races",NA,"breast"
"District of Columbia",2020,"Overall",18.5,"breast"
"Florida",2020,"White",18.6,"breast"
"Florida",2020,"Black",25.4,"breast"
"Florida",2020,"Hispanic",12.2,"breast"
"Florida",2020,"American_Indian_AlaskaNative",NA,"breast"
"Florida",2020,"Asian",10.5,"breast"
"Florida",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Florida",2020,"Multiple_Races",NA,"breast"
"Florida",2020,"Overall",17.8,"breast"
"Georgia",2020,"White",18.2,"breast"
"Georgia",2020,"Black",27,"breast"
"Georgia",2020,"Hispanic",10.5,"breast"
"Georgia",2020,"American_Indian_AlaskaNative",NA,"breast"
"Georgia",2020,"Asian",10.4,"breast"
"Georgia",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Georgia",2020,"Multiple_Races",NA,"breast"
"Georgia",2020,"Overall",20,"breast"
"Hawaii",2020,"White",16,"breast"
"Hawaii",2020,"Black",NA,"breast"
"Hawaii",2020,"Hispanic",NA,"breast"
"Hawaii",2020,"American_Indian_AlaskaNative",NA,"breast"
"Hawaii",2020,"Asian",11.7,"breast"
"Hawaii",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Hawaii",2020,"Multiple_Races",26.8,"breast"
"Hawaii",2020,"Overall",15.3,"breast"
"Idaho",2020,"White",17.2,"breast"
"Idaho",2020,"Black",NA,"breast"
"Idaho",2020,"Hispanic",NA,"breast"
"Idaho",2020,"American_Indian_AlaskaNative",NA,"breast"
"Idaho",2020,"Asian",NA,"breast"
"Idaho",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Idaho",2020,"Multiple_Races",NA,"breast"
"Idaho",2020,"Overall",16.9,"breast"
"Illinois",2020,"White",20,"breast"
"Illinois",2020,"Black",29.5,"breast"
"Illinois",2020,"Hispanic",10.8,"breast"
"Illinois",2020,"American_Indian_AlaskaNative",NA,"breast"
"Illinois",2020,"Asian",11.3,"breast"
"Illinois",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Illinois",2020,"Multiple_Races",NA,"breast"
"Illinois",2020,"Overall",20.1,"breast"
"Indiana",2020,"White",20.7,"breast"
"Indiana",2020,"Black",29,"breast"
"Indiana",2020,"Hispanic",NA,"breast"
"Indiana",2020,"American_Indian_AlaskaNative",NA,"breast"
"Indiana",2020,"Asian",NA,"breast"
"Indiana",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Indiana",2020,"Multiple_Races",NA,"breast"
"Indiana",2020,"Overall",20.6,"breast"
"Iowa",2020,"White",17.9,"breast"
"Iowa",2020,"Black",NA,"breast"
"Iowa",2020,"Hispanic",NA,"breast"
"Iowa",2020,"American_Indian_AlaskaNative",NA,"breast"
"Iowa",2020,"Asian",NA,"breast"
"Iowa",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Iowa",2020,"Multiple_Races",NA,"breast"
"Iowa",2020,"Overall",17.4,"breast"
"Kansas",2020,"White",18,"breast"
"Kansas",2020,"Black",28.7,"breast"
"Kansas",2020,"Hispanic",NA,"breast"
"Kansas",2020,"American_Indian_AlaskaNative",NA,"breast"
"Kansas",2020,"Asian",NA,"breast"
"Kansas",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Kansas",2020,"Multiple_Races",NA,"breast"
"Kansas",2020,"Overall",18.2,"breast"
"Kentucky",2020,"White",22.8,"breast"
"Kentucky",2020,"Black",31.6,"breast"
"Kentucky",2020,"Hispanic",NA,"breast"
"Kentucky",2020,"American_Indian_AlaskaNative",NA,"breast"
"Kentucky",2020,"Asian",NA,"breast"
"Kentucky",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Kentucky",2020,"Multiple_Races",NA,"breast"
"Kentucky",2020,"Overall",22.8,"breast"
"Louisiana",2020,"White",20.5,"breast"
"Louisiana",2020,"Black",26.9,"breast"
"Louisiana",2020,"Hispanic",NA,"breast"
"Louisiana",2020,"American_Indian_AlaskaNative",NA,"breast"
"Louisiana",2020,"Asian",NA,"breast"
"Louisiana",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Louisiana",2020,"Multiple_Races",NA,"breast"
"Louisiana",2020,"Overall",21.8,"breast"
"Maine",2020,"White",17.7,"breast"
"Maine",2020,"Black",NA,"breast"
"Maine",2020,"Hispanic",NA,"breast"
"Maine",2020,"American_Indian_AlaskaNative",NA,"breast"
"Maine",2020,"Asian",NA,"breast"
"Maine",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Maine",2020,"Multiple_Races",NA,"breast"
"Maine",2020,"Overall",17.5,"breast"
"Maryland",2020,"White",20.3,"breast"
"Maryland",2020,"Black",28.1,"breast"
"Maryland",2020,"Hispanic",10.9,"breast"
"Maryland",2020,"American_Indian_AlaskaNative",NA,"breast"
"Maryland",2020,"Asian",11.4,"breast"
"Maryland",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Maryland",2020,"Multiple_Races",NA,"breast"
"Maryland",2020,"Overall",21.5,"breast"
"Massachusetts",2020,"White",16.6,"breast"
"Massachusetts",2020,"Black",20.9,"breast"
"Massachusetts",2020,"Hispanic",9.5,"breast"
"Massachusetts",2020,"American_Indian_AlaskaNative",NA,"breast"
"Massachusetts",2020,"Asian",NA,"breast"
"Massachusetts",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Massachusetts",2020,"Multiple_Races",NA,"breast"
"Massachusetts",2020,"Overall",16.1,"breast"
"Michigan",2020,"White",19,"breast"
"Michigan",2020,"Black",28.3,"breast"
"Michigan",2020,"Hispanic",13.1,"breast"
"Michigan",2020,"American_Indian_AlaskaNative",NA,"breast"
"Michigan",2020,"Asian",13.6,"breast"
"Michigan",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Michigan",2020,"Multiple_Races",NA,"breast"
"Michigan",2020,"Overall",20,"breast"
"Minnesota",2020,"White",17.4,"breast"
"Minnesota",2020,"Black",29.1,"breast"
"Minnesota",2020,"Hispanic",NA,"breast"
"Minnesota",2020,"American_Indian_AlaskaNative",NA,"breast"
"Minnesota",2020,"Asian",NA,"breast"
"Minnesota",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Minnesota",2020,"Multiple_Races",NA,"breast"
"Minnesota",2020,"Overall",17.4,"breast"
"Mississippi",2020,"White",20.4,"breast"
"Mississippi",2020,"Black",34.8,"breast"
"Mississippi",2020,"Hispanic",NA,"breast"
"Mississippi",2020,"American_Indian_AlaskaNative",NA,"breast"
"Mississippi",2020,"Asian",NA,"breast"
"Mississippi",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Mississippi",2020,"Multiple_Races",NA,"breast"
"Mississippi",2020,"Overall",25,"breast"
"Missouri",2020,"White",18.8,"breast"
"Missouri",2020,"Black",26.1,"breast"
"Missouri",2020,"Hispanic",NA,"breast"
"Missouri",2020,"American_Indian_AlaskaNative",NA,"breast"
"Missouri",2020,"Asian",NA,"breast"
"Missouri",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Missouri",2020,"Multiple_Races",NA,"breast"
"Missouri",2020,"Overall",18.9,"breast"
"Montana",2020,"White",16.9,"breast"
"Montana",2020,"Black",NA,"breast"
"Montana",2020,"Hispanic",NA,"breast"
"Montana",2020,"American_Indian_AlaskaNative",NA,"breast"
"Montana",2020,"Asian",NA,"breast"
"Montana",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Montana",2020,"Multiple_Races",NA,"breast"
"Montana",2020,"Overall",16.8,"breast"
"Nebraska",2020,"White",22.4,"breast"
"Nebraska",2020,"Black",NA,"breast"
"Nebraska",2020,"Hispanic",NA,"breast"
"Nebraska",2020,"American_Indian_AlaskaNative",NA,"breast"
"Nebraska",2020,"Asian",NA,"breast"
"Nebraska",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Nebraska",2020,"Multiple_Races",NA,"breast"
"Nebraska",2020,"Overall",21.5,"breast"
"Nevada",2020,"White",24.1,"breast"
"Nevada",2020,"Black",28.4,"breast"
"Nevada",2020,"Hispanic",11.8,"breast"
"Nevada",2020,"American_Indian_AlaskaNative",NA,"breast"
"Nevada",2020,"Asian",10.6,"breast"
"Nevada",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Nevada",2020,"Multiple_Races",NA,"breast"
"Nevada",2020,"Overall",20.9,"breast"
"New Hampshire",2020,"White",18.2,"breast"
"New Hampshire",2020,"Black",NA,"breast"
"New Hampshire",2020,"Hispanic",NA,"breast"
"New Hampshire",2020,"American_Indian_AlaskaNative",NA,"breast"
"New Hampshire",2020,"Asian",NA,"breast"
"New Hampshire",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"New Hampshire",2020,"Multiple_Races",NA,"breast"
"New Hampshire",2020,"Overall",18.3,"breast"
"New Jersey",2020,"White",20.9,"breast"
"New Jersey",2020,"Black",25.2,"breast"
"New Jersey",2020,"Hispanic",13.2,"breast"
"New Jersey",2020,"American_Indian_AlaskaNative",NA,"breast"
"New Jersey",2020,"Asian",9.8,"breast"
"New Jersey",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"New Jersey",2020,"Multiple_Races",NA,"breast"
"New Jersey",2020,"Overall",19.6,"breast"
"New Mexico",2020,"White",21.2,"breast"
"New Mexico",2020,"Black",NA,"breast"
"New Mexico",2020,"Hispanic",16.2,"breast"
"New Mexico",2020,"American_Indian_AlaskaNative",NA,"breast"
"New Mexico",2020,"Asian",NA,"breast"
"New Mexico",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"New Mexico",2020,"Multiple_Races",NA,"breast"
"New Mexico",2020,"Overall",18.6,"breast"
"New York",2020,"White",18.4,"breast"
"New York",2020,"Black",23.7,"breast"
"New York",2020,"Hispanic",11.6,"breast"
"New York",2020,"American_Indian_AlaskaNative",NA,"breast"
"New York",2020,"Asian",9.5,"breast"
"New York",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"New York",2020,"Multiple_Races",NA,"breast"
"New York",2020,"Overall",17.7,"breast"
"North Carolina",2020,"White",18.2,"breast"
"North Carolina",2020,"Black",26.2,"breast"
"North Carolina",2020,"Hispanic",8,"breast"
"North Carolina",2020,"American_Indian_AlaskaNative",NA,"breast"
"North Carolina",2020,"Asian",NA,"breast"
"North Carolina",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"North Carolina",2020,"Multiple_Races",NA,"breast"
"North Carolina",2020,"Overall",19.2,"breast"
"North Dakota",2020,"White",16.9,"breast"
"North Dakota",2020,"Black",NA,"breast"
"North Dakota",2020,"Hispanic",NA,"breast"
"North Dakota",2020,"American_Indian_AlaskaNative",NA,"breast"
"North Dakota",2020,"Asian",NA,"breast"
"North Dakota",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"North Dakota",2020,"Multiple_Races",NA,"breast"
"North Dakota",2020,"Overall",17.2,"breast"
"Ohio",2020,"White",19.7,"breast"
"Ohio",2020,"Black",28,"breast"
"Ohio",2020,"Hispanic",NA,"breast"
"Ohio",2020,"American_Indian_AlaskaNative",NA,"breast"
"Ohio",2020,"Asian",NA,"breast"
"Ohio",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Ohio",2020,"Multiple_Races",NA,"breast"
"Ohio",2020,"Overall",19.9,"breast"
"Oklahoma",2020,"White",22.5,"breast"
"Oklahoma",2020,"Black",25.1,"breast"
"Oklahoma",2020,"Hispanic",22.8,"breast"
"Oklahoma",2020,"American_Indian_AlaskaNative",21.2,"breast"
"Oklahoma",2020,"Asian",NA,"breast"
"Oklahoma",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Oklahoma",2020,"Multiple_Races",NA,"breast"
"Oklahoma",2020,"Overall",22.3,"breast"
"Oregon",2020,"White",18.7,"breast"
"Oregon",2020,"Black",NA,"breast"
"Oregon",2020,"Hispanic",9.9,"breast"
"Oregon",2020,"American_Indian_AlaskaNative",NA,"breast"
"Oregon",2020,"Asian",NA,"breast"
"Oregon",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Oregon",2020,"Multiple_Races",NA,"breast"
"Oregon",2020,"Overall",18.5,"breast"
"Pennsylvania",2020,"White",19.1,"breast"
"Pennsylvania",2020,"Black",28.4,"breast"
"Pennsylvania",2020,"Hispanic",11.8,"breast"
"Pennsylvania",2020,"American_Indian_AlaskaNative",NA,"breast"
"Pennsylvania",2020,"Asian",10.4,"breast"
"Pennsylvania",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Pennsylvania",2020,"Multiple_Races",NA,"breast"
"Pennsylvania",2020,"Overall",19.6,"breast"
"Rhode Island",2020,"White",15.9,"breast"
"Rhode Island",2020,"Black",NA,"breast"
"Rhode Island",2020,"Hispanic",NA,"breast"
"Rhode Island",2020,"American_Indian_AlaskaNative",NA,"breast"
"Rhode Island",2020,"Asian",NA,"breast"
"Rhode Island",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Rhode Island",2020,"Multiple_Races",NA,"breast"
"Rhode Island",2020,"Overall",16.3,"breast"
"South Carolina",2020,"White",21.5,"breast"
"South Carolina",2020,"Black",26.3,"breast"
"South Carolina",2020,"Hispanic",NA,"breast"
"South Carolina",2020,"American_Indian_AlaskaNative",NA,"breast"
"South Carolina",2020,"Asian",NA,"breast"
"South Carolina",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"South Carolina",2020,"Multiple_Races",NA,"breast"
"South Carolina",2020,"Overall",22,"breast"
"South Dakota",2020,"White",19.1,"breast"
"South Dakota",2020,"Black",NA,"breast"
"South Dakota",2020,"Hispanic",NA,"breast"
"South Dakota",2020,"American_Indian_AlaskaNative",NA,"breast"
"South Dakota",2020,"Asian",NA,"breast"
"South Dakota",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"South Dakota",2020,"Multiple_Races",NA,"breast"
"South Dakota",2020,"Overall",19.1,"breast"
"Tennessee",2020,"White",21.2,"breast"
"Tennessee",2020,"Black",27.9,"breast"
"Tennessee",2020,"Hispanic",NA,"breast"
"Tennessee",2020,"American_Indian_AlaskaNative",NA,"breast"
"Tennessee",2020,"Asian",NA,"breast"
"Tennessee",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Tennessee",2020,"Multiple_Races",NA,"breast"
"Tennessee",2020,"Overall",21.4,"breast"
"Texas",2020,"White",19.8,"breast"
"Texas",2020,"Black",28,"breast"
"Texas",2020,"Hispanic",14.5,"breast"
"Texas",2020,"American_Indian_AlaskaNative",NA,"breast"
"Texas",2020,"Asian",10.7,"breast"
"Texas",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Texas",2020,"Multiple_Races",NA,"breast"
"Texas",2020,"Overall",18.8,"breast"
"Utah",2020,"White",20.9,"breast"
"Utah",2020,"Black",NA,"breast"
"Utah",2020,"Hispanic",NA,"breast"
"Utah",2020,"American_Indian_AlaskaNative",NA,"breast"
"Utah",2020,"Asian",NA,"breast"
"Utah",2020,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Utah",2020,"Multiple_Races",NA,"breast"
"Utah",2020,"Overall",19.9,"breast"
"Vermont",2020,"White",16.1,"breast"
"Vermont",2020,"Black",NA,"breast"
