"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","19.4","19.8","26.3","13.6","11.5","14.3","30.8","9.8"
"Alabama","20","18.4","27","N/A","N/A","N/A","N/A","N/A"
"Alaska","19","20","N/A","N/A","N/A","N/A","N/A","N/A"
"Arizona","20","20.7","30.6","16","17.8","16.1","N/A","N/A"
"Arkansas","21.5","20.7","30.3","N/A","N/A","N/A","N/A","N/A"
"California","18.6","21.3","31.1","13.9","13","19.4","32.8","13.7"
"Colorado","19.5","19.7","27.5","17.5","NSD","N/A","N/A","N/A"
"Connecticut","15.6","16.3","17.4","9.6","N/A","N/A","N/A","N/A"
"Delaware","22.4","22.3","23.9","N/A","N/A","N/A","N/A","N/A"
"District of Columbia","22.1","NSD","29.3","N/A","N/A","N/A","N/A","N/A"
"Florida","18.9","19.7","25","14","12.5","N/A","N/A","NSD"
"Georgia","22.2","21.3","26.9","12.4","10.9","N/A","N/A","N/A"
"Hawaii","15.9","19.6","N/A","N/A","12.9","N/A","NSD","21.5"
"Idaho","20.6","21.6","N/A","N/A","N/A","N/A","N/A","N/A"
"Illinois","20.1","20.2","30.9","11","11.6","N/A","N/A","N/A"
"Indiana","20.5","21","22.2","NSD","N/A","N/A","N/A","N/A"
"Iowa","18.1","18.3","NSD","N/A","N/A","N/A","N/A","N/A"
"Kansas","20.1","19.9","26.3","NSD","N/A","N/A","N/A","N/A"
"Kentucky","20.1","20.7","19.7","N/A","N/A","N/A","N/A","N/A"
"Louisiana","22","20.7","25.3","NSD","NSD","N/A","N/A","N/A"
"Maine","15.2","15.4","N/A","N/A","N/A","N/A","N/A","N/A"
"Maryland","19.3","18.4","24.3","12.9","10.4","N/A","N/A","N/A"
"Massachusetts","15.1","15.5","19.2","9.9","NSD","N/A","N/A","N/A"
"Michigan","20.3","20.2","24","16.5","14.8","N/A","N/A","N/A"
"Minnesota","17.7","18.1","NSD","N/A","NSD","N/A","N/A","N/A"
"Mississippi","25","22.4","31.1","N/A","N/A","N/A","N/A","N/A"
"Missouri","20.6","20.3","30.5","N/A","N/A","N/A","N/A","N/A"
"Montana","17.4","17.4","N/A","N/A","N/A","N/A","N/A","N/A"
"Nebraska","20.7","21.6","N/A","N/A","N/A","N/A","N/A","N/A"
"Nevada","20.8","21.4","28.3","13.8","18.9","N/A","N/A","N/A"
"New Hampshire","18","18.2","N/A","N/A","N/A","N/A","N/A","N/A"
"New Jersey","18.6","19.2","25.6","12.4","11.7","N/A","N/A","N/A"
"New Mexico","19.5","21.5","N/A","17.5","N/A","NSD","N/A","N/A"
"New York","16.4","17.1","22.1","10.7","8.8","N/A","N/A","N/A"
"North Carolina","20.4","20.4","26","7.6","N/A","N/A","N/A","N/A"
"North Dakota","16.2","15.8","N/A","N/A","N/A","N/A","N/A","N/A"
"Ohio","20.3","19.7","28.3","12.3","NSD","N/A","N/A","N/A"
"Oklahoma","22.4","23","33.9","NSD","N/A","19.3","N/A","N/A"
"Oregon","20.1","21.4","N/A","12.2","N/A","N/A","N/A","N/A"
"Pennsylvania","19.6","19.4","26.6","12.8","11.5","N/A","N/A","N/A"
"Rhode Island","15.6","16.7","N/A","N/A","N/A","N/A","N/A","N/A"
"South Carolina","19.8","19.6","21.7","NSD","N/A","N/A","N/A","N/A"
"South Dakota","16.6","16.4","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee","21.4","20.5","28.2","NSD","NSD","N/A","N/A","N/A"
"Texas","19.9","21.3","28.5","14.7","10.3","N/A","N/A","N/A"
"Utah","20.3","20.1","N/A","19.8","N/A","N/A","N/A","N/A"
"Vermont","17.1","17","N/A","N/A","N/A","N/A","N/A","N/A"
"Virginia","21.2","20.7","27.8","15.5","11.7","N/A","N/A","N/A"
"Washington","19.3","20.5","19","13.8","11.2","NSD","N/A","N/A"
"West Virginia","22.3","22.9","N/A","N/A","N/A","N/A","N/A","N/A"
"Wisconsin","17.4","17.3","25.7","NSD","N/A","N/A","N/A","N/A"
"Wyoming","22.3","22.9","N/A","N/A","N/A","N/A","N/A","N/A"
