"Location","Overall","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian/Pacific Islander","Multiple Races"
"United States","680981","520813","85891","46642","17420","3610","963","3037"
"Alabama","14587","11034","3358","91","42","30","N/A","N/A"
"Alaska","918","581","22","20","32","200","13","30"
"Arizona","14641","11579","547","1705","169","345","23","94"
"Arkansas","8443","7083","1172","106","46","10","13","10"
"California","64173","38675","5301","11852","6770","287","293","639"
"Colorado","8109","6616","320","895","133","50","N/A","N/A"
"Connecticut","6601","5573","554","356","86","N/A","0","N/A"
"Delaware","2244","1754","430","34","15","N/A","0","N/A"
"District of Columbia","1051","157","837","42","10","0","0","N/A"
"Florida","49495","36208","5720","6717","600","68","N/A","N/A"
"Georgia","21273","14380","6129","401","310","N/A","14","N/A"
"Hawaii","2763","643","30","150","1139","N/A","213","N/A"
"Idaho","3292","3082","15","117","16","34","N/A","N/A"
"Illinois","25634","19522","4152","1137","544","10","N/A","N/A"
"Indiana","15161","13509","1283","236","95","13","N/A","N/A"
"Iowa","7644","7308","184","68","48","N/A","13","N/A"
"Kansas","6199","5464","323","175","48","42","N/A","N/A"
"Kentucky","10988","10024","834","67","44","N/A","0","N/A"
"Louisiana","11895","7933","3651","168","72","25","N/A","N/A"
"Maine","3475","3347","22","12","14","22","0","N/A"
"Maryland","11529","7322","3590","264","302","N/A","N/A","26"
"Massachusetts","11959","10502","585","490","235","N/A","0","33"
"Michigan","26205","21523","3769","396","206","75","N/A","N/A"
"Minnesota","8843","8178","281","88","137","98","N/A","N/A"
"Mississippi","8441","5639","2689","49","32","22","0","N/A"
"Missouri","15137","13154","1641","150","66","19","15","40"
"Montana","2492","2323","N/A","16","N/A","116","N/A","19"
"Nebraska","3853","3577","138","73","29","22","N/A","N/A"
"Nevada","6989","4930","766","669","392","58","49","72"
"New Hampshire","2988","2906","21","17","21","0","N/A","N/A"
"New Jersey","17748","13266","2322","1394","694","16","N/A","N/A"
"New Mexico","4616","2638","97","1570","27","232","N/A","N/A"
"New York","41172","28227","6470","3856","1886","57","N/A","N/A"
"North Carolina","21192","15953","4494","338","153","217","N/A","N/A"
"North Dakota","1576","1450","13","14","N/A","76","N/A","10"
"Ohio","28193","24525","3199","231","163","24","N/A","N/A"
"Oklahoma","11913","9673","814","254","74","784","13","280"
"Oregon","7832","7212","105","199","121","68","27","63"
"Pennsylvania","30946","26783","3030","650","311","11","N/A","N/A"
"Rhode Island","2346","2101","80","106","27","N/A","0","N/A"
"South Carolina","12277","8962","3085","134","59","23","N/A","N/A"
"South Dakota","1796","1644","N/A","16","N/A","115","N/A","N/A"
"Tennessee","17955","15160","2466","179","80","16","N/A","N/A"
"Texas","50111","32137","6730","9977","1040","51","41","51"
"Utah","4509","4106","44","199","61","28","53","17"
"Vermont","1436","1410","N/A","N/A","N/A","N/A","0","N/A"
"Virginia","16487","12272","3314","313","442","22","N/A","N/A"
"Washington","12485","10754","388","417","475","156","91","161"
"West Virginia","5244","5055","162","12","N/A","0","0","N/A"
"Wisconsin","12999","11917","688","175","114","87","N/A","16"
"Wyoming","1126","1042","N/A","41","N/A","27","0","N/A"

