"name","Overall","White","Black","Hispanic","Asian_NativeHawaiian","AmericanIndian_AlaskaNative"
"Alabama",128.7,126.5,138.2,69.3,96,NA
"Alaska",123.5,122.7,NA,93.4,80.4,154.5
"Arizona",113.8,118.2,101.2,102.5,91.8,63.6
"Arkansas",124.6,124.5,127,95.2,115.1,NA
"California",129.4,146,123.5,100.2,123.9,120.6
"Colorado",137.3,141.2,127.9,112.5,113.7,148.4
"Connecticut",157.9,163.5,145.9,131.6,100.5,NA
"Delaware",143.6,149.8,132,106.4,90,NA
"District of Columbia",147.2,144,158,91.1,NA,NA
"Florida",133.5,141.6,121.6,113.4,105.6,84.9
"Georgia",137,140.8,135.3,116.1,103.9,149.1
"Hawaii",140.6,138.7,NA,169.6,137.7,NA
"Idaho",129.7,130,NA,120.1,97.6,120.9
"Illinois",138.2,145.3,137.7,104.9,107.2,NA
"Indiana",NA,NA,NA,NA,NA,NA
"Iowa",137.6,139.3,127.1,105,119.6,NA
"Kansas",140.6,140.9,136.4,107.3,107.2,NA
"Kentucky",133.5,135.5,122.5,99.2,98.2,NA
"Louisiana",132,131.1,140.7,78.4,85.3,88.9
"Maine",146.1,147.4,NA,NA,NA,NA
"Maryland",140.8,148.7,143.3,88.6,100.5,140
"Massachusetts",140.3,146.5,127.1,102.7,97.3,NA
"Michigan",130.6,132.7,129.2,92.3,91,100.1
"Minnesota",145,147.8,104.4,111.1,100.7,145.7
"Mississippi",124.6,124.3,128.3,49,107.3,NA
"Missouri",134.6,136.2,142.4,62.5,92.8,NA
"Montana",128.8,128,NA,NA,NA,196.8
"Nebraska",125.2,131,132.3,87.6,NA,NA
"Nevada",113,119.6,120.3,79.8,112.3,176.6
"New Hampshire",146.4,149.5,NA,107.5,80.6,NA
"New Jersey",143,155.8,135.7,114.4,115.7,NA
"New Mexico",116.1,123.6,117.3,110,142.3,64
"New York",140.7,149.8,124.9,114.6,127.9,NA
"North Carolina",145.9,149.3,142.3,113.8,98.5,125.6
"North Dakota",132.1,131,NA,NA,NA,174
"Ohio",138.1,139.4,134,91,110.8,88.3
"Oklahoma",126.5,124.9,146.8,81.9,118.4,150.6
"Oregon",124.1,120.5,91.8,102.1,99.3,156.6
"Pennsylvania",133.1,134.9,125.3,115.5,88.9,135.5
"Rhode Island",142.3,147.5,120.5,110,NA,NA
"South Carolina",137.9,141,137,96.3,77.2,NA
"South Dakota",133.8,139.4,NA,NA,NA,90.5
"Tennessee",125.7,127.7,126.4,82.3,88.7,NA
"Texas",124.3,133.1,132,105.7,103,146.4
"Utah",126.8,125.3,NA,135.9,131.5,NA
"Vermont",119.4,120.1,NA,NA,NA,NA
"Virginia",133.4,135.4,137,98.5,98.2,211.9
"Washington",143.9,146.4,118.1,127.3,121.5,188.5
"West Virginia",135.5,138,121.5,NA,NA,NA
"Wisconsin",141.3,143.4,144.9,116.5,89.5,165.6
"Wyoming",140.6,143,NA,114.9,NA,NA
