"state","race","breast_cancer"
"United States","White",139.2
"United States","Black",131.9
"United States","Hispanic",105.7
"United States","Asian_NativeHawaiian",114
"United States","AmericanIndian_AlaskaNative",117.2
"United States","Overall",133.8
"Alabama","White",126.5
"Alabama","Black",138.2
"Alabama","Hispanic",69.3
"Alabama","Asian_NativeHawaiian",96
"Alabama","AmericanIndian_AlaskaNative",NA
"Alabama","Overall",128.7
"Alaska","White",122.7
"Alaska","Black",NA
"Alaska","Hispanic",93.4
"Alaska","Asian_NativeHawaiian",80.4
"Alaska","AmericanIndian_AlaskaNative",154.5
"Alaska","Overall",123.5
"Arizona","White",118.2
"Arizona","Black",101.2
"Arizona","Hispanic",102.5
"Arizona","Asian_NativeHawaiian",91.8
"Arizona","AmericanIndian_AlaskaNative",63.6
"Arizona","Overall",113.8
"Arkansas","White",124.5
"Arkansas","Black",127
"Arkansas","Hispanic",95.2
"Arkansas","Asian_NativeHawaiian",115.1
"Arkansas","AmericanIndian_AlaskaNative",NA
"Arkansas","Overall",124.6
"California","White",146
"California","Black",123.5
"California","Hispanic",100.2
"California","Asian_NativeHawaiian",123.9
"California","AmericanIndian_AlaskaNative",120.6
"California","Overall",129.4
"Colorado","White",141.2
"Colorado","Black",127.9
"Colorado","Hispanic",112.5
"Colorado","Asian_NativeHawaiian",113.7
"Colorado","AmericanIndian_AlaskaNative",148.4
"Colorado","Overall",137.3
"Connecticut","White",163.5
"Connecticut","Black",145.9
"Connecticut","Hispanic",131.6
"Connecticut","Asian_NativeHawaiian",100.5
"Connecticut","AmericanIndian_AlaskaNative",NA
"Connecticut","Overall",157.9
"Delaware","White",149.8
"Delaware","Black",132
"Delaware","Hispanic",106.4
"Delaware","Asian_NativeHawaiian",90
"Delaware","AmericanIndian_AlaskaNative",NA
"Delaware","Overall",143.6
"District of Columbia","White",144
"District of Columbia","Black",158
"District of Columbia","Hispanic",91.1
"District of Columbia","Asian_NativeHawaiian",NA
"District of Columbia","AmericanIndian_AlaskaNative",NA
"District of Columbia","Overall",147.2
"Florida","White",141.6
"Florida","Black",121.6
"Florida","Hispanic",113.4
"Florida","Asian_NativeHawaiian",105.6
"Florida","AmericanIndian_AlaskaNative",84.9
"Florida","Overall",133.5
"Georgia","White",140.8
"Georgia","Black",135.3
"Georgia","Hispanic",116.1
"Georgia","Asian_NativeHawaiian",103.9
"Georgia","AmericanIndian_AlaskaNative",149.1
"Georgia","Overall",137
"Hawaii","White",138.7
"Hawaii","Black",NA
"Hawaii","Hispanic",169.6
"Hawaii","Asian_NativeHawaiian",137.7
"Hawaii","AmericanIndian_AlaskaNative",NA
"Hawaii","Overall",140.6
"Idaho","White",130
"Idaho","Black",NA
"Idaho","Hispanic",120.1
"Idaho","Asian_NativeHawaiian",97.6
"Idaho","AmericanIndian_AlaskaNative",120.9
"Idaho","Overall",129.7
"Illinois","White",145.3
"Illinois","Black",137.7
"Illinois","Hispanic",104.9
"Illinois","Asian_NativeHawaiian",107.2
"Illinois","AmericanIndian_AlaskaNative",NA
"Illinois","Overall",138.2
"Indiana","White",NA
"Indiana","Black",NA
"Indiana","Hispanic",NA
"Indiana","Asian_NativeHawaiian",NA
"Indiana","AmericanIndian_AlaskaNative",NA
"Indiana","Overall",NA
"Iowa","White",139.3
"Iowa","Black",127.1
"Iowa","Hispanic",105
"Iowa","Asian_NativeHawaiian",119.6
"Iowa","AmericanIndian_AlaskaNative",NA
"Iowa","Overall",137.6
"Kansas","White",140.9
"Kansas","Black",136.4
"Kansas","Hispanic",107.3
"Kansas","Asian_NativeHawaiian",107.2
"Kansas","AmericanIndian_AlaskaNative",NA
"Kansas","Overall",140.6
"Kentucky","White",135.5
"Kentucky","Black",122.5
"Kentucky","Hispanic",99.2
"Kentucky","Asian_NativeHawaiian",98.2
"Kentucky","AmericanIndian_AlaskaNative",NA
"Kentucky","Overall",133.5
"Louisiana","White",131.1
"Louisiana","Black",140.7
"Louisiana","Hispanic",78.4
"Louisiana","Asian_NativeHawaiian",85.3
"Louisiana","AmericanIndian_AlaskaNative",88.9
"Louisiana","Overall",132
"Maine","White",147.4
"Maine","Black",NA
"Maine","Hispanic",NA
"Maine","Asian_NativeHawaiian",NA
"Maine","AmericanIndian_AlaskaNative",NA
"Maine","Overall",146.1
"Maryland","White",148.7
"Maryland","Black",143.3
"Maryland","Hispanic",88.6
"Maryland","Asian_NativeHawaiian",100.5
"Maryland","AmericanIndian_AlaskaNative",140
"Maryland","Overall",140.8
"Massachusetts","White",146.5
"Massachusetts","Black",127.1
"Massachusetts","Hispanic",102.7
"Massachusetts","Asian_NativeHawaiian",97.3
"Massachusetts","AmericanIndian_AlaskaNative",NA
"Massachusetts","Overall",140.3
"Michigan","White",132.7
"Michigan","Black",129.2
"Michigan","Hispanic",92.3
"Michigan","Asian_NativeHawaiian",91
"Michigan","AmericanIndian_AlaskaNative",100.1
"Michigan","Overall",130.6
"Minnesota","White",147.8
"Minnesota","Black",104.4
"Minnesota","Hispanic",111.1
"Minnesota","Asian_NativeHawaiian",100.7
"Minnesota","AmericanIndian_AlaskaNative",145.7
"Minnesota","Overall",145
"Mississippi","White",124.3
"Mississippi","Black",128.3
"Mississippi","Hispanic",49
"Mississippi","Asian_NativeHawaiian",107.3
"Mississippi","AmericanIndian_AlaskaNative",NA
"Mississippi","Overall",124.6
"Missouri","White",136.2
"Missouri","Black",142.4
"Missouri","Hispanic",62.5
"Missouri","Asian_NativeHawaiian",92.8
"Missouri","AmericanIndian_AlaskaNative",NA
"Missouri","Overall",134.6
