"state","race","cervical_cancer"
"United States","White",6.8
"United States","Black",8.1
"United States","Hispanic",9.6
"United States","Asian_NativeHawaiian",5.8
"United States","AmericanIndian_AlaskaNative",10.9
"United States","Overall",7.4
"Alabama","White",9.1
"Alabama","Black",9.8
"Alabama","Hispanic",NA
"Alabama","Asian_NativeHawaiian",NA
"Alabama","AmericanIndian_AlaskaNative",NA
"Alabama","Overall",9.5
"Alaska","White",NA
"Alaska","Black",NA
"Alaska","Hispanic",NA
"Alaska","Asian_NativeHawaiian",NA
"Alaska","AmericanIndian_AlaskaNative",NA
"Alaska","Overall",7.1
"Arizona","White",5.8
"Arizona","Black",NA
"Arizona","Hispanic",8.8
"Arizona","Asian_NativeHawaiian",NA
"Arizona","AmericanIndian_AlaskaNative",NA
"Arizona","Overall",6.5
"Arkansas","White",10.5
"Arkansas","Black",8.3
"Arkansas","Hispanic",NA
"Arkansas","Asian_NativeHawaiian",NA
"Arkansas","AmericanIndian_AlaskaNative",NA
"Arkansas","Overall",10.2
"California","White",5.7
"California","Black",6.3
"California","Hispanic",8.9
"California","Asian_NativeHawaiian",6.5
"California","AmericanIndian_AlaskaNative",NA
"California","Overall",7.1
"Colorado","White",5.9
"Colorado","Black",NA
"Colorado","Hispanic",9.9
"Colorado","Asian_NativeHawaiian",NA
"Colorado","AmericanIndian_AlaskaNative",NA
"Colorado","Overall",6.4
"Connecticut","White",4.9
"Connecticut","Black",NA
"Connecticut","Hispanic",10.5
"Connecticut","Asian_NativeHawaiian",NA
"Connecticut","AmericanIndian_AlaskaNative",NA
"Connecticut","Overall",5.6
"Delaware","White",7.5
"Delaware","Black",NA
"Delaware","Hispanic",NA
"Delaware","Asian_NativeHawaiian",NA
"Delaware","AmericanIndian_AlaskaNative",NA
"Delaware","Overall",7.5
"District of Columbia","White",NA
"District of Columbia","Black",14.8
"District of Columbia","Hispanic",NA
"District of Columbia","Asian_NativeHawaiian",NA
"District of Columbia","AmericanIndian_AlaskaNative",NA
"District of Columbia","Overall",10.1
"Florida","White",9.1
"Florida","Black",10.6
"Florida","Hispanic",9.6
"Florida","Asian_NativeHawaiian",5.9
"Florida","AmericanIndian_AlaskaNative",NA
"Florida","Overall",9.2
"Georgia","White",7.7
"Georgia","Black",7.5
"Georgia","Hispanic",7.6
"Georgia","Asian_NativeHawaiian",NA
"Georgia","AmericanIndian_AlaskaNative",NA
"Georgia","Overall",7.5
"Hawaii","White",NA
"Hawaii","Black",NA
"Hawaii","Hispanic",NA
"Hawaii","Asian_NativeHawaiian",5.3
"Hawaii","AmericanIndian_AlaskaNative",NA
"Hawaii","Overall",5.4
"Idaho","White",5.6
"Idaho","Black",NA
"Idaho","Hispanic",NA
"Idaho","Asian_NativeHawaiian",NA
"Idaho","AmericanIndian_AlaskaNative",NA
"Idaho","Overall",5.3
"Illinois","White",6.4
"Illinois","Black",10.2
"Illinois","Hispanic",7.9
"Illinois","Asian_NativeHawaiian",NA
"Illinois","AmericanIndian_AlaskaNative",NA
"Illinois","Overall",7
"Indiana","White",NA
"Indiana","Black",NA
"Indiana","Hispanic",NA
"Indiana","Asian_NativeHawaiian",NA
"Indiana","AmericanIndian_AlaskaNative",NA
"Indiana","Overall",NA
"Iowa","White",7.9
"Iowa","Black",NA
"Iowa","Hispanic",NA
"Iowa","Asian_NativeHawaiian",NA
"Iowa","AmericanIndian_AlaskaNative",NA
"Iowa","Overall",7.9
"Kansas","White",7.4
"Kansas","Black",NA
"Kansas","Hispanic",12.2
"Kansas","Asian_NativeHawaiian",NA
"Kansas","AmericanIndian_AlaskaNative",NA
"Kansas","Overall",8.3
"Kentucky","White",9.9
"Kentucky","Black",10.8
"Kentucky","Hispanic",NA
"Kentucky","Asian_NativeHawaiian",NA
"Kentucky","AmericanIndian_AlaskaNative",NA
"Kentucky","Overall",9.9
"Louisiana","White",8.6
"Louisiana","Black",11
"Louisiana","Hispanic",15.2
"Louisiana","Asian_NativeHawaiian",NA
"Louisiana","AmericanIndian_AlaskaNative",NA
"Louisiana","Overall",9.8
