"state","year","race","rate","disease"
"United States",2020,"White",178.2,"chlamydia"
"United States",2020,"Black",NA,"chlamydia"
"United States",2020,"Hispanic",305.4,"chlamydia"
"United States",2020,"AmericanIndian_AlaskaNative",610.2,"chlamydia"
"United States",2020,"Asian",84.9,"chlamydia"
"United States",2020,"Native.Hawaiian.or.Pacific.Islander",547.2,"chlamydia"
"United States",2020,"Multiple.races",234.7,"chlamydia"
"United States",2020,"Overall",476.6,"chlamydia"
"Alabama",2020,"White",103.6,"chlamydia"
"Alabama",2020,"Black",740.3,"chlamydia"
"Alabama",2020,"Hispanic",239.2,"chlamydia"
"Alabama",2020,"AmericanIndian_AlaskaNative",85.7,"chlamydia"
"Alabama",2020,"Asian",37.4,"chlamydia"
"Alabama",2020,"Native.Hawaiian.or.Pacific.Islander",236.5,"chlamydia"
"Alabama",2020,"Multiple.races",285.6,"chlamydia"
"Alabama",2020,"Overall",538.8,"chlamydia"
"Alaska",2020,"White",197.9,"chlamydia"
"Alaska",2020,"Black",NA,"chlamydia"
"Alaska",2020,"Hispanic",365.7,"chlamydia"
"Alaska",2020,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"Alaska",2020,"Asian",191.8,"chlamydia"
"Alaska",2020,"Native.Hawaiian.or.Pacific.Islander",958.5,"chlamydia"
"Alaska",2020,"Multiple.races",246,"chlamydia"
"Alaska",2020,"Overall",694.9,"chlamydia"
"Arizona",2020,"White",157,"chlamydia"
"Arizona",2020,"Black",NA,"chlamydia"
"Arizona",2020,"Hispanic",424.5,"chlamydia"
"Arizona",2020,"AmericanIndian_AlaskaNative",755.3,"chlamydia"
"Arizona",2020,"Asian",103.4,"chlamydia"
"Arizona",2020,"Native.Hawaiian.or.Pacific.Islander",513.2,"chlamydia"
"Arizona",2020,"Multiple.races",233.9,"chlamydia"
"Arizona",2020,"Overall",519.5,"chlamydia"
"Arkansas",2020,"White",242.8,"chlamydia"
"Arkansas",2020,"Black",NA,"chlamydia"
"Arkansas",2020,"Hispanic",375.3,"chlamydia"
"Arkansas",2020,"AmericanIndian_AlaskaNative",187.8,"chlamydia"
"Arkansas",2020,"Asian",146.8,"chlamydia"
"Arkansas",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Arkansas",2020,"Multiple.races",58.5,"chlamydia"
"Arkansas",2020,"Overall",532.9,"chlamydia"
"California",2020,"White",137.4,"chlamydia"
"California",2020,"Black",671.7,"chlamydia"
"California",2020,"Hispanic",185.3,"chlamydia"
"California",2020,"AmericanIndian_AlaskaNative",228.1,"chlamydia"
"California",2020,"Asian",71.8,"chlamydia"
"California",2020,"Native.Hawaiian.or.Pacific.Islander",300.7,"chlamydia"
"California",2020,"Multiple.races",33.8,"chlamydia"
"California",2020,"Overall",452.4,"chlamydia"
"Colorado",2020,"White",171.9,"chlamydia"
"Colorado",2020,"Black",NA,"chlamydia"
"Colorado",2020,"Hispanic",480.3,"chlamydia"
"Colorado",2020,"AmericanIndian_AlaskaNative",453.5,"chlamydia"
"Colorado",2020,"Asian",130.5,"chlamydia"
"Colorado",2020,"Native.Hawaiian.or.Pacific.Islander",431.2,"chlamydia"
"Colorado",2020,"Multiple.races",204.3,"chlamydia"
"Colorado",2020,"Overall",451.9,"chlamydia"
"Connecticut",2020,"White",106.3,"chlamydia"
"Connecticut",2020,"Black",5.5,"chlamydia"
"Connecticut",2020,"Hispanic",2.7,"chlamydia"
"Connecticut",2020,"AmericanIndian_AlaskaNative",0,"chlamydia"
"Connecticut",2020,"Asian",47.7,"chlamydia"
"Connecticut",2020,"Native.Hawaiian.or.Pacific.Islander",0,"chlamydia"
"Connecticut",2020,"Multiple.races",0,"chlamydia"
"Connecticut",2020,"Overall",353.2,"chlamydia"
"Delaware",2020,"White",180.9,"chlamydia"
"Delaware",2020,"Black",NA,"chlamydia"
"Delaware",2020,"Hispanic",300.1,"chlamydia"
"Delaware",2020,"AmericanIndian_AlaskaNative",66.7,"chlamydia"
"Delaware",2020,"Asian",65.9,"chlamydia"
"Delaware",2020,"Native.Hawaiian.or.Pacific.Islander",581.4,"chlamydia"
"Delaware",2020,"Multiple.races",8.1,"chlamydia"
"Delaware",2020,"Overall",489.5,"chlamydia"
"District of Columbia",2020,"White",71.5,"chlamydia"
"District of Columbia",2020,"Black",207.5,"chlamydia"
"District of Columbia",2020,"Hispanic",119.2,"chlamydia"
"District of Columbia",2020,"AmericanIndian_AlaskaNative",216.6,"chlamydia"
"District of Columbia",2020,"Asian",82.7,"chlamydia"
"District of Columbia",2020,"Native.Hawaiian.or.Pacific.Islander",0,"chlamydia"
"District of Columbia",2020,"Multiple.races",0,"chlamydia"
"District of Columbia",2020,"Overall",929.3,"chlamydia"
"Florida",2020,"White",163.3,"chlamydia"
"Florida",2020,"Black",989.6,"chlamydia"
"Florida",2020,"Hispanic",246.5,"chlamydia"
"Florida",2020,"AmericanIndian_AlaskaNative",223,"chlamydia"
"Florida",2020,"Asian",77.1,"chlamydia"
"Florida",2020,"Native.Hawaiian.or.Pacific.Islander",778.3,"chlamydia"
"Florida",2020,"Multiple.races",0,"chlamydia"
"Florida",2020,"Overall",463.7,"chlamydia"
"Georgia",2020,"White",192.6,"chlamydia"
"Georgia",2020,"Black",NA,"chlamydia"
"Georgia",2020,"Hispanic",302.8,"chlamydia"
"Georgia",2020,"AmericanIndian_AlaskaNative",394.4,"chlamydia"
"Georgia",2020,"Asian",49.8,"chlamydia"
"Georgia",2020,"Native.Hawaiian.or.Pacific.Islander",357,"chlamydia"
"Georgia",2020,"Multiple.races",17.1,"chlamydia"
